id,OrderID,price,quantity,Discount,order_date,product_Id,customer_Id,shipper_Id,employee_Id,supplier_Id,category_Id
1,10248,14.00,12,0.00,1996-07-04,11,VINET,3,5,5,4
2,10248,9.80,10,0.00,1996-07-04,42,VINET,3,5,20,5
3,10248,34.80,5,0.00,1996-07-04,72,VINET,3,5,14,4
4,10249,18.60,9,0.00,1996-07-05,14,TOMSP,1,6,6,7
5,10249,42.40,40,0.00,1996-07-05,51,TOMSP,1,6,24,7
6,10250,7.70,10,0.00,1996-07-08,41,HANAR,2,4,19,8
7,10250,42.40,35,0.15,1996-07-08,51,HANAR,2,4,24,7
8,10250,16.80,15,0.15,1996-07-08,65,HANAR,2,4,2,2
9,10251,16.80,6,0.05,1996-07-08,22,VICTE,1,3,9,5
10,10251,15.60,15,0.05,1996-07-08,57,VICTE,1,3,26,5
11,10251,16.80,20,0.00,1996-07-08,65,VICTE,1,3,2,2
12,10252,64.80,40,0.05,1996-07-09,20,SUPRD,2,4,8,3
13,10252,2.00,25,0.05,1996-07-09,33,SUPRD,2,4,15,4
14,10252,27.20,40,0.00,1996-07-09,60,SUPRD,2,4,28,4
15,10253,10.00,20,0.00,1996-07-10,31,HANAR,2,3,14,4
16,10253,14.40,42,0.00,1996-07-10,39,HANAR,2,3,18,1
17,10253,16.00,40,0.00,1996-07-10,49,HANAR,2,3,23,3
18,10254,3.60,15,0.15,1996-07-11,24,CHOPS,2,5,10,1
19,10254,19.20,21,0.15,1996-07-11,55,CHOPS,2,5,25,6
20,10254,8.00,21,0.00,1996-07-11,74,CHOPS,2,5,4,7
21,10255,15.20,20,0.00,1996-07-12,2,RICSU,3,9,1,1
22,10255,13.90,35,0.00,1996-07-12,16,RICSU,3,9,7,3
23,10255,15.20,25,0.00,1996-07-12,36,RICSU,3,9,17,8
24,10255,44.00,30,0.00,1996-07-12,59,RICSU,3,9,28,4
25,10256,26.20,15,0.00,1996-07-15,53,WELLI,2,3,24,6
26,10256,10.40,12,0.00,1996-07-15,77,WELLI,2,3,12,2
27,10257,35.10,25,0.00,1996-07-16,27,HILAA,3,4,11,3
28,10257,14.40,6,0.00,1996-07-16,39,HILAA,3,4,18,1
29,10257,10.40,15,0.00,1996-07-16,77,HILAA,3,4,12,2
30,10258,15.20,50,0.20,1996-07-17,2,ERNSH,1,1,1,1
